=== LSOF FOR ALL MODEM PROCESSES ===
==============================================
--- LSOF for time_daemon (PID 242) ---
==============================================
COMMAND     PID       USER   FD      TYPE             DEVICE  SIZE/OFF       NODE NAME
init          1       root  exe       ???                ???       ???        ??? /init
init          1       root    0       ???                ???       ???        ??? /dev/__null__ (deleted)
init          1       root    1       ???                ???       ???        ??? /dev/__null__ (deleted)
init          1       root    2       ???                ???       ???        ??? /dev/__null__ (deleted)
init          1       root    3       ???                ???       ???        ??? /dev/__kmsg__ (deleted)
init          1       root    4       ???                ???       ???        ??? /dev/__properties__
init          1       root    5       ???                ???       ???        ??? socket:[7296]
init          1       root    6       ???                ???       ???        ??? socket:[7298]
init          1       root    7       ???                ???       ???        ??? socket:[7299]
init          1       root    8       ???                ???       ???        ??? socket:[6496]
init          1       root  mem       ???              00:01         0       5542 /init
init          1       root  mem       ???              00:01    172032       5542 /init
init          1       root  mem       ???              00:01    176128       5542 /init
init          1       root  mem       ???              00:0c         0       7175 /dev/__properties__
ueventd     147       root  exe       ???                ???       ???        ??? /init
ueventd     147       root    0       ???                ???       ???        ??? /dev/__null__ (deleted)
ueventd     147       root    1       ???                ???       ???        ??? /dev/__null__ (deleted)
ueventd     147       root    2       ???                ???       ???        ??? /dev/__null__ (deleted)
ueventd     147       root    3       ???                ???       ???        ??? /dev/__kmsg__ (deleted)
ueventd     147       root    4       ???                ???       ???        ??? socket:[5951]
ueventd     147       root    5       ???                ???       ???        ??? /dev/__properties__
ueventd     147       root  mem       ???              00:01         0       5542 /init
ueventd     147       root  mem       ???              00:01    172032       5542 /init
ueventd     147       root  mem       ???              00:01    176128       5542 /init
healthd     187       root  exe       ???                ???       ???        ??? /sbin/healthd
healthd     187       root    0       ???                ???       ???        ??? /dev/null
healthd     187       root    1       ???                ???       ???        ??? /dev/null
healthd     187       root    2       ???                ???       ???        ??? /dev/null
healthd     187       root    3       ???                ???       ???        ??? anon_inode:[timerfd]
healthd     187       root    4       ???                ???       ???        ??? socket:[8215]
healthd     187       root    5       ???                ???       ???        ??? /dev/binder
healthd     187       root    6       ???                ???       ???        ??? /dev/__kmsg__ (deleted)
healthd     187       root    7       ???                ???       ???        ??? anon_inode:[eventpoll]
healthd     187       root    8       ???                ???       ???        ??? /dev/__properties__
healthd     187       root    9       ???                ???       ???        ??? /dev/cpuctl/apps/tasks
healthd     187       root   10       ???                ???       ???        ??? /dev/cpuctl/apps/bg_non_interactive/tasks
healthd     187       root  mem       ???              00:01         0       5578 /sbin/healthd
healthd     187       root  mem       ???              00:01    102400       5578 /sbin/healthd
healthd     187       root  mem       ???              00:01    114688       5578 /sbin/healthd
servicema   188     system  exe       ???                ???       ???        ??? /system/bin/servicemanager
servicema   188     system    0       ???                ???       ???        ??? /dev/null
servicema   188     system    1       ???                ???       ???        ??? /dev/null
servicema   188     system    2       ???                ???       ???        ??? /dev/null
servicema   188     system    3       ???                ???       ???        ??? /dev/binder
servicema   188     system    8       ???                ???       ???        ??? /dev/__properties__
servicema   188     system  mem       ???              00:0c         0       9805 /dev/binder
servicema   188     system  mem       ???              b3:17         0       1109 /system/lib/libstlport.so
servicema   188     system  mem       ???              b3:17    200704       1109 /system/lib/libstlport.so
servicema   188     system  mem       ???              b3:17    208896       1109 /system/lib/libstlport.so
servicema   188     system  mem       ???              b3:17         0        948 /system/lib/libcnefeatureconfig.so
servicema   188     system  mem       ???              b3:17         0        948 /system/lib/libcnefeatureconfig.so
servicema   188     system  mem       ???              b3:17      4096        948 /system/lib/libcnefeatureconfig.so
servicema   188     system  mem       ???              b3:17         0       1953 /system/vendor/lib/libcneconn.so
servicema   188     system  mem       ???              b3:17     36864       1953 /system/vendor/lib/libcneconn.so
servicema   188     system  mem       ???              b3:17     40960       1953 /system/vendor/lib/libcneconn.so
servicema   188     system  mem       ???              00:0c         0       7175 /dev/__properties__
servicema   188     system  mem       ???              b3:17         0       1030 /system/lib/libm.so
servicema   188     system  mem       ???              b3:17     94208       1030 /system/lib/libm.so
servicema   188     system  mem       ???              b3:17     98304       1030 /system/lib/libm.so
servicema   188     system  mem       ???              b3:17         0       1108 /system/lib/libstdc++.so
servicema   188     system  mem       ???              b3:17         0       1108 /system/lib/libstdc++.so
servicema   188     system  mem       ???              b3:17      4096       1108 /system/lib/libstdc++.so
servicema   188     system  mem       ???              b3:17         0       1028 /system/lib/liblog.so
servicema   188     system  mem       ???              b3:17      8192       1028 /system/lib/liblog.so
servicema   188     system  mem       ???              b3:17     12288       1028 /system/lib/liblog.so
servicema   188     system  mem       ???              b3:17         0        956 /system/lib/libcutils.so
servicema   188     system  mem       ???              b3:17     32768        956 /system/lib/libcutils.so
servicema   188     system  mem       ???              b3:17     36864        956 /system/lib/libcutils.so
servicema   188     system  mem       ???              b3:17         0        937 /system/lib/libc.so
servicema   188     system  mem       ???              b3:17    290816        937 /system/lib/libc.so
servicema   188     system  mem       ???              b3:17    299008        937 /system/lib/libc.so
vold        189       root  exe       ???                ???       ???        ??? /system/bin/vold
vold        189       root    0       ???                ???       ???        ??? /dev/null
vold        189       root    1       ???                ???       ???        ??? /dev/null
vold        189       root    2       ???                ???       ???        ??? /dev/null
vold        189       root    3       ???                ???       ???        ??? /dev/log/main
vold        189       root    4       ???                ???       ???        ??? /dev/log/radio
vold        189       root    5       ???                ???       ???        ??? /dev/log/events
vold        189       root    6       ???                ???       ???        ??? /dev/log/system
vold        189       root    7       ???                ???       ???        ??? socket:[7366]
vold        189       root    8       ???                ???       ???        ??? /dev/__properties__
vold        189       root    9       ???                ???       ???        ??? socket:[9909]
vold        189       root   10       ???                ???       ???        ??? pipe:[7367]
vold        189       root   11       ???                ???       ???        ??? pipe:[7367]
vold        189       root   12       ???                ???       ???        ??? pipe:[8333]
vold        189       root   13       ???                ???       ???        ??? pipe:[8333]
vold        189       root   14       ???                ???       ???        ??? socket:[8728]
rfs_acces   191     system  exe       ???                ???       ???        ??? /system/bin/rfs_access
rfs_acces   191     system    0       ???                ???       ???        ??? /dev/null
rfs_acces   191     system    1       ???                ???       ???        ??? /dev/null
rfs_acces   191     system    2       ???                ???       ???        ??? /dev/null
rfs_acces   191     system    3       ???                ???       ???        ??? /dev/log/main
rfs_acces   191     system    4       ???                ???       ???        ??? /dev/log/radio
rfs_acces   191     system    5       ???                ???       ???        ??? /dev/log/events
rfs_acces   191     system    6       ???                ???       ???        ??? /dev/log/system
rfs_acces   191     system    7       ???                ???       ???        ??? socket:[7373]
rfs_acces   191     system    8       ???                ???       ???        ??? /dev/__properties__
rfs_acces   191     system    9       ???                ???       ???        ??? socket:[7374]
qseecomd    194     system  exe       ???                ???       ???        ??? /system/bin/qseecomd
qseecomd    194     system    0       ???                ???       ???        ??? /dev/null
qseecomd    194     system    1       ???                ???       ???        ??? /dev/null
qseecomd    194     system    2       ???                ???       ???        ??? /dev/null
qseecomd    194     system    3       ???                ???       ???        ??? /dev/log/main
qseecomd    194     system    4       ???                ???       ???        ??? /dev/log/radio
qseecomd    194     system    5       ???                ???       ???        ??? /dev/log/events
qseecomd    194     system    6       ???                ???       ???        ??? /dev/log/system
qseecomd    194     system    7       ???                ???       ???        ??? /dev/log/main
qseecomd    194     system    8       ???                ???       ???        ??? /dev/__properties__
qseecomd    194     system    9       ???                ???       ???        ??? /dev/log/radio
qseecomd    194     system   10       ???                ???       ???        ??? /dev/log/events
qseecomd    194     system   11       ???                ???       ???        ??? /dev/log/system
qseecomd    194     system   12       ???                ???       ???        ??? /dev/block/mmcblk0rpmb
qseecomd    194     system   13       ???                ???       ???        ??? /dev/block/mmcblk0p17
qseecomd    194     system  mem       ???              b3:17         0       2078 /system/vendor/lib/libssd.so
qseecomd    194     system  mem       ???              b3:17         0       2078 /system/vendor/lib/libssd.so
qseecomd    194     system  mem       ???              b3:17      4096       2078 /system/vendor/lib/libssd.so
qseecomd    194     system  mem       ???              b3:17         0       2071 /system/vendor/lib/librpmb.so
qseecomd    194     system  mem       ???              b3:17      4096       2071 /system/vendor/lib/librpmb.so
qseecomd    194     system  mem       ???              b3:17      8192       2071 /system/vendor/lib/librpmb.so
qseecomd    194     system  mem       ???              b3:17         0       1109 /system/lib/libstlport.so
qseecomd    194     system  mem       ???              b3:17    200704       1109 /system/lib/libstlport.so
qseecomd    194     system  mem       ???              b3:17    208896       1109 /system/lib/libstlport.so
netd        195       root  exe       ???                ???       ???        ??? /system/bin/netd
netd        195       root    0       ???                ???       ???        ??? /dev/null
netd        195       root    1       ???                ???       ???        ??? /dev/null
netd        195       root    2       ???                ???       ???        ??? /dev/null
netd        195       root    3       ???                ???       ???        ??? /dev/log/main
netd        195       root    4       ???                ???       ???        ??? /dev/log/radio
netd        195       root    5       ???                ???       ???        ??? /dev/log/events
netd        195       root    6       ???                ???       ???        ??? /dev/log/system
netd        195       root    7       ???                ???       ???        ??? socket:[8624]
netd        195       root    8       ???                ???       ???        ??? /dev/__properties__
netd        195       root    9       ???                ???       ???        ??? socket:[6478]
netd        195       root   10       ???                ???       ???        ??? socket:[6481]
netd        195       root   11       ???                ???       ???        ??? socket:[6483]
netd        195       root   12       ???                ???       ???        ??? pipe:[8625]
netd        195       root   13       ???                ???       ???        ??? pipe:[8625]
netd        195       root   14       ???                ???       ???        ??? socket:[8626]
netd        195       root   15       ???                ???       ???        ??? pipe:[8627]
netd        195       root   16       ???                ???       ???        ??? pipe:[8627]
