# 20-Minute Live Modem Stability & Connectivity Monitor

- **Start Time:** 2026-09-04 17:23:54
- **Target:** `root@192.168.8.1`
- **Test Target:** OpenWrt 25.12.5 (Kernel 6.12.94) with Patches 1-13
- **Sampling Interval:** 30s for 20 minutes

| Sample | Host Time | Elapsed | Device Uptime | MM State | Tech | Signal | Ping wwan0 | wwan0 RX | wwan0 TX | Modem/Kernel Crashes |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| #01 | 17:23:54 |  0.0m | 4 min     | --        | lte  |  88% | 140.204 ms ms | 5503     | 5308     | None |
| #02 | 17:24:24 |  0.5m | 5 min     | --        | lte  |  84% | 35.811 ms ms | 5815     | 5652     | None |
| #03 | 17:24:54 |  1.0m | 5 min     | --        | lte  |  84% | 164.899 ms ms | 6147     | 6016     | None |
| #04 | 17:25:25 |  1.5m | 6 min     | --        | lte  |  88% | 40.416 ms ms | 6307     | 6192     | None |
| #05 | 17:25:55 |  2.0m | 6 min     | --        | lte  |  88% | 41.047 ms ms | 6543     | 6556     | None |
| #06 | 17:26:25 |  2.5m | 7 min     | --        | lte  |  88% | 33.842 ms ms | 6627     | 6732     | None |
| #07 | 17:26:56 |  3.0m | 7 min     | --        | lte  |  33% | 43.098 ms ms | 6863     | 6908     | None |
| #08 | 17:27:26 |  3.5m | 8 min     | --        | lte  |  88% | 146.220 ms ms | 7119     | 7188     | None |
| #09 | 17:27:56 |  4.0m | 8 min     | --        | lte  |  88% | 40.229 ms ms | 7279     | 7364     | None |
| #10 | 17:28:26 |  4.5m | 9 min     | --        | lte  |  84% | 151.072 ms ms | 7611     | 7728     | None |
| #11 | 17:28:57 |  5.0m | 9 min     | --        | lte  |  89% | 131.760 ms ms | 7771     | 7904     | None |
| #12 | 17:29:27 |  5.5m | 10 min    | --        | lte  |  34% | 148.131 ms ms | 8007     | 8268     | None |
| #13 | 17:29:57 |  6.0m | 10 min    | --        | lte  |  36% | 149.394 ms ms | 8167     | 8444     | None |
| #14 | 17:30:28 |  6.5m | 11 min    | --        | lte  |  88% | 39.952 ms ms | 8403     | 8704     | None |
| #15 | 17:30:58 |  7.1m | 11 min    | --        | lte  |  91% | 43.459 ms ms | 8563     | 8984     | None |
| #16 | 17:31:28 |  7.6m | 12 min    | --        | lte  |  84% | 40.995 ms ms | 8799     | 9244     | None |
| #17 | 17:31:59 |  8.1m | 12 min    | --        | lte  |  89% | 36.104 ms ms | 9055     | 9524     | None |
| #18 | 17:32:29 |  8.6m | 13 min    | --        | lte  |  88% | 41.175 ms ms | 9215     | 9700     | None |
| #19 | 17:32:59 |  9.1m | 13 min    | --        | lte  |  88% | 141.904 ms ms | 9375     | 9876     | None |
| #20 | 17:33:30 |  9.6m | 14 min    | --        | lte  |  89% | 145.412 ms ms | 9535     | 10052    | None |
| #21 | 17:34:00 | 10.1m | 14 min    | --        | lte  |  88% | 161.574 ms ms | 9619     | 10144    | None |
| #22 | 17:34:30 | 10.6m | 15 min    | --        | lte  |  88% | 152.197 ms ms | 9703     | 10340    | None |
| #23 | 17:35:01 | 11.1m | 15 min    | --        | lte  |  88% | 9855       | 10600    | 0        | None |
| #24 | 17:35:33 | 11.6m | 16 min    | --        | lte  |  88% | 9927       | 10776    | 0        | None |
| #25 | 17:36:05 | 12.2m | 16 min    | --        | lte  |  88% | 9927       | 10868    | 0        | None |
| #26 | 17:36:37 | 12.7m | 17 min    | --        | lte  |  88% | 9927       | 11064    | 0        | None |
| #27 | 17:37:09 | 13.2m | 18 min    | --        | lte  |  88% | 9927       | 11324    | 0        | None |
| #28 | 17:37:42 | 13.8m | 18 min    | --        | lte  |  88% | 9927       | 11500    | 0        | None |
| #29 | 17:38:14 | 14.3m | 19 min    | --        | lte  |  88% | 9927       | 11592    | 0        | None |
| #30 | 17:38:46 | 14.9m | 19 min    | --        | lte  |  88% | 9927       | 11684    | 0        | None |
| #31 | 17:39:18 | 15.4m | 20 min    | --        | lte  |  88% | 9927       | 11880    | 0        | None |
| #32 | 17:39:51 | 15.9m | 20 min    | --        | lte  |  88% | 9927       | 12140    | 0        | None |
| #33 | 17:40:23 | 16.5m | 21 min    | --        | lte  |  88% | 9927       | 13972    | 0        | None |
| #34 | 17:40:55 | 17.0m | 21 min    | --        | lte  |  88% | 9927       | 14064    | 0        | None |
| #35 | 17:41:27 | 17.6m | 22 min    | --        | lte  |  88% | 9927       | 14156    | 0        | None |
| #36 | 17:41:59 | 18.1m | 22 min    | --        | lte  |  88% | 9927       | 14524    | 0        | None |
| #37 | 17:42:32 | 18.6m | 23 min    | --        | lte  |  88% | 9927       | 14616    | 0        | None |
| #38 | 17:43:04 | 19.1m | 23 min    | --        | lte  |  88% | 9927       | 15260    | 0        | None |
| #39 | 17:43:36 | 19.7m | 24 min    | --        | lte  |  88% | 9927       | 17296    | 0        | None |


**Monitoring completed at 2026-09-04 17:44:08 after 39 samples.**
