# MCC_MNC	Operator_Name	APN	IP_Type	Mode	MBN_Path
# ----------------------------------------------------------------------------------------------------------------------
# Nepal (MCC 429)
42901	Nepal Telecom (NTC / Namaste)	ntnet	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
42902	Ncell (Axiata)	web	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
42904	Smart Telecom	smart	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn

# India (MCC 404 / 405)
405840	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405854	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405855	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405856	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405857	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405858	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405859	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405860	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405861	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405862	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405863	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405864	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405865	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405866	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405867	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405868	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405869	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405870	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405871	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405872	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405873	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn
405874	Reliance Jio	jionet	ipv4v6	4g	generic/apac/reliance/commerci/mcfg_sw.mbn

40410	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn
40431	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn
40440	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn
40445	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn
40449	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn
40470	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn
40490	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn
40492	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn
40493	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn
40494	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn
40495	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn
40496	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn
40497	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn
40498	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn
405051	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn
405052	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn
405053	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn
405054	Bharti Airtel	airtelgprs.com	ipv4v6	4g	generic/apac/airtel/commerci/mcfg_sw.mbn

40404	Vodafone Idea (Vi)	portalnmms	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40411	Vodafone Idea (Vi)	portalnmms	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40413	Vodafone Idea (Vi)	portalnmms	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40415	Vodafone Idea (Vi)	portalnmms	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40420	Vodafone Idea (Vi)	portalnmms	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40422	Vodafone Idea (Vi)	portalnmms	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40424	Vodafone Idea (Vi)	portalnmms	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40443	Vodafone Idea (Vi)	portalnmms	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40446	Vodafone Idea (Vi)	portalnmms	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40484	Vodafone Idea (Vi)	portalnmms	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40486	Vodafone Idea (Vi)	portalnmms	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40488	Vodafone Idea (Vi)	portalnmms	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40566	Vodafone Idea (Vi)	portalnmms	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40567	Vodafone Idea (Vi)	portalnmms	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
405750	Vodafone Idea (Vi)	portalnmms	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
405751	Vodafone Idea (Vi)	portalnmms	ipv4v6	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn

40434	BSNL Mobile	bsnlnet	ipv4	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40438	BSNL Mobile	bsnlnet	ipv4	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40451	BSNL Mobile	bsnlnet	ipv4	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40453	BSNL Mobile	bsnlnet	ipv4	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40455	BSNL Mobile	bsnlnet	ipv4	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40457	BSNL Mobile	bsnlnet	ipv4	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40458	BSNL Mobile	bsnlnet	ipv4	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40459	BSNL Mobile	bsnlnet	ipv4	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40462	BSNL Mobile	bsnlnet	ipv4	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40464	BSNL Mobile	bsnlnet	ipv4	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40471	BSNL Mobile	bsnlnet	ipv4	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
40472	BSNL Mobile	bsnlnet	ipv4	4g	generic/common/row/gen_3gpp/mcfg_sw.mbn
